bangla_speech,combined,ipa_output
আমার সাথে বাজে ব্যবহার করতে থাকলো,Sylhet মোর লগে বাদুয়া ব্যবহার খরতে থাকলো,ʃɔlhe moɾ lɔge bɐd̪uʷɐ bɛbohɐɾ kʰɔɾt̪e t̪ʰɐklo
ততোদিনে আমি তার প্রতি অনেকটাই দুর্বল হয়ে গেছি,Sylhet ততদিনে মুই তার প্রতি বাক্কা দুর্বল অই গেছলাম,ʃɔlhet t̪ɔt̪od̪ɪne mu͡ɪ̯ t̪ɐɾ pɾot̪ɪ bɐkkɐ d̪uɾbol ɔ͡ɪ̯ gecʰolɐm
সে আমাকে ঝগড়া হলেই সব সময় অপমান করে,Sylhet হে আমারে ঝগড়া অইলেউ হখল সময় অপমান খরে,ʃɔlhe he ɐmɐɾe ɟʱɔgɽɐ ɛ͡ɪ̯le͡u̯ hɔkʰl ʃɔmɔe̯ ɔpomɐn kʰoɾe
পরিবার তুলে গালি দেয়,Sylhet পরিবার তুলিয়া গাইল দেয়,ʃɔlɔt poɾɪbɐɾ t̪ulɪʲɐ gɐ͡ɪ̯l d̪ee̯
আমি দ্বিতীয় বার ভালোবেসেও ঠকে গেছি,Sylhet মুই দুই নাম্বার বার ভালোবাসিয়াও ঠগি গেলাম,ʃɔlhe mu͡ɪ̯ d̪u͡ɪ̯ nɐmbɐɾ bɐɾ bʱɐlobɐʃɪʲɐ͡o̯ tʰgɪ gelɐm
তবে আমি তাকে এখনো ভালোবাসি,Sylhet তেবো মুই তারে অখনো ভালাপাই,ʃɔlhe t̪ebo mu͡ɪ̯ t̪ɐɾe ɔxono vɐlɐpɐ͡ɪ̯
তার দেয়া কথা গুলা মাঝে মাঝে মনে পড়লে অনেক হাসি আসে,Sylhet তারে দেওয়া কথাগুইন মাঝে মাঝে মনে আইলে বাক্কা হাসি আয়,ʃɔlhet t̪ɐɾe d̪e͡o̯ʷɐ kɔt̪ʰɐgu͡ɪ̯n mɐɟʱe mɐɟʱe mone ɐ͡ɪ̯le bɐkkɐ hɐʃɪ ɐe̯
তার কি একটুও মনে পড়ে না আগের দিনের কথা?,Sylhet তার কিতা থুরাও মনো ফড়ে নানি আগর দিনর মাত?,ʃɔlhe t̪ɐɾ kɪt̪ɐ t̪ʰuɾɐ͡o̯ mono pʰɔɽe nɐnɪ ɐgoɾ d̪ɪnɾ mɐt̪?
সে কিভাবে পারলো এতো স্বপ্ন দেখানোর পরে আমাকে ঠকাইতে?,Sylhet হে কিলা ফারলো অতো সফনো দেখানির বাদে মোরে অলা ঠগাইতো,ʃɔlhe he kɪlɐ pʰɐɾlo ɔt̪o ʃɔpʰono d̪ɛkʰɐnɪɾ bɐd̪e moɾe ɔlɐ tʰɔgɐ͡ɪ̯t̪o
এখন নিজেকেই আর বিশ্বাস করতে পারি না,Sylhet  অখন নিজোরেউ আর বিশ্বাস খরতাম ফারই না,ʃɔlhe  ɔxon nɪzoɾe͡u̯ ɐɾ bɪʃʃɐʃ xoɾt̪ɐm fɐɾɪ nɐ
কি ছিলাম আর কি হলাম,Sylhet কিলান আছলাম আর কিলান অইলাম,ʃɔlhe kɪlɐn ɐcʰlɐm ɐɾ kɪlɐn ɔ͡ɪ̯lɐm
আমার বিয়ের বয়স ২২ মাস,Sylhet  মোর বিয়ার বয়স ২২ মাস,ʃɔlɔt  moɾ bɪʲɐɾ bɔʲoʃ 22 mɐʃ
আমার ৮ মাসের একটা ছেলে বাবু আছে,Sylhet   মোর ৮ মাসর এখান ফুয়া আছে,ʃɔlhe   moɾ m mɐʃoɾ exɐn fuʲɐ ɐcʰe
এই করোনায় অনার্স ফাইনাল ইয়ারে থাকাকালীন বিয়ে হয়ে যায় আমার,Sylhet অউ করোনার সময় অনার্স ফাইনেল ইয়ারো থাকাকালীন বিয়া অই গেছিল মোর,ʃɔlhe ɔ͡u̯ kɔɾonɐɾ ʃɔmɔe̯ ɔnɐɾs pʰɐ͡ɪ̯nel ɪʲɐɾo t̪ʰɐkɐkɐlɪn bɪʲɐ ɔ͡ɪ̯ gecʰɪlo moɾ
আমি গনিতে অনার্স করতেছিলাম,Sylhet মুই অঙ্কত অনার্স করাত আছলাম,ʃɔlhe mu͡ɪ̯ ɔŋkot̪ ɔnɐɾs kɔɾɐt̪ ɐcʰlɐm
এদিকে যার সাথে বিয়ে হয় সে অশিক্ষিত,Sylhet  অবায়দি যার লগে বিয়া অইছে হে গন্ডোমূর্খ,sɔlhe  ɔbɐʲd̪ɪ ɟɐɾ lɔge bɪʲɐ e͡ɪ̯cʰe he gɔndomuɾkʰo
সে স্কুলেই যাইনি কখনো,Sylhet হে জিন্দেগিতো  ইস্কুলো গেছে না,ʃɔlhe he ɟɪnd̪egɪt̪o  ɪskulo gecʰe nɐ
"বিয়ের সময় বলছিলো ছেলে শিক্ষিত,ঢাকায় চাকরি করে","Sylhet বিয়ার সময় খইছিল ফুয়া শিকখিতো, ঢাকাত চাকরি খরইন","ʃɔlhe bɪʲɐɾ ʃɔmɔe̯ xo͡ɪ̯cʰɪlo fuʲɐ ʃɪkxɪt̪o, dʱɐkɐt̪ cɐkɾɪ xɔɾɪn"
আমার বর ছোটবেলায় তার মা হারায়,Sylhet  মোর জামাই হুরুকালো তান মারে আরাইছইন,ʃɔlhe  moɾ ɟɐmɐ͡ɪ̯ huɾukɐlo t̪ɐn mɐɾe ɐɾɐ͡ɪ̯cʰo͡ɪ̯n
বিয়ের সময় বলছিলো বরের বাড়ি আছে,Sylhet   বিয়ার কালো কইছলা জামাইর বাড়ি আছে,ʃɔlhe   bɪʲɐɾ kɐlo ko͡ɪ̯cʰɔlɐ ɟɐmɐ͡ɪ̯ɾ bɐɽɪ ɐcʰe
এসব নিয়ে আমি সমস্যা করি নি,Sylhet  অতা লইয়া আমি সমস্যা খরছি না,ʃɔlhe  ɔt̪ɐ lɔ͡ɪ̯ʲɐ ɐmɪ ʃɔmoʃʃɐ kʰoɾcʰɪ nɐ
বোনকে বাসায় পাঠিয়ে দিয়েছি,Sylhet   বইনরে বাসাত পাটাই দিছি, ʃɔlhe   bo͡ɪ̯nɾe bɐʃɐt̪ pɐtɐ͡ɪ̯ d̪ɪcʰɪ
আমি এক কাপড়ে বাসা থেকে বের হয়ে এসেছি,Sylhet মুই এখ কাফরে বাসা থাকি বারইয়া আইছি,ʃɔlhe mu͡ɪ̯ ɛkʰo kɐpʰɔɾe bɐʃɐ t̪ʰɐkɪ bɐɾɪʲɐ ɐ͡ɪ̯cʰɪ
কাল ঘটনাটা শোনার পর থেকে আমার দম বন্ধ লাগছিল,Sylhet কাইল ঘটনাটা হুনার বাদ থাকি আমার দম বন লাগের,ʃɔlhe kɐ͡ɪ̯l gʱɔtonɐtɐ hunɐɾ bɐd̪ t̪ʰɐkɪ ɐmɐɾ d̪ɔm bɔno lɐgeɾ
আমার স্বামী বাসায় ফিরলেই আমার কোলে মাথা রাখে,Sylhet মোর হাই বাসাত আইলেউ মোর কুছো মাথা রাখে, ʃɔlhe moɾ hɐ͡ɪ̯ bɐʃɐt̪ ɐ͡ɪ̯le͡u̯ moɾ kucʰo mɐt̪ʰɐ ɾɐkʰe
আমি একজন মেয়ে বয়স ২৩ বছর,Sylhet মুই এখটা ফুড়ি বয়স ২৩ বৎসর,ʃɔlhe mu͡ɪ̯ ɛkʰtɐ pʰuɽɪ bɔʲoʃ 22 bɔt̪ʃɔɾ
আমার বিয়ে হয়েছে ১ মাস,Sylhet মোর বিয়া অইছে ১ মাস,ʃɔlhe moɾ bɪʲɐ e͡ɪ̯cʰe d̪ʱo mɐʃ 
আমার স্বামী ভালো অনেক,Sylhet  মোর জামাই যে ভালা,ʃɔlɔt  moɾ ɟɐmɐ͡ɪ̯ ɟe bʱɐlɐ
আমি কিছুই জানতাম না,Sylhet মুই কুনতা  জানতাম না,ʃɔlhe mu͡ɪ̯ kunt̪ɐ  ɟɐnt̪ɐm nɐ
কি হবে তার জন্য কেঁদে?,Sylhet কিতা অইবো তার লাগি কান্দিয়া?,ʃɔlhe kɪt̪ɐ ɔ͡ɪ̯bo t̪ɐɾ lɐgɪ kɐnd̪ɪʲɐ?
সে তো বুঝবেনা,Sylhet  হে তো বুঝতো নায়,ʃɔlhe  he t̪o buɟʱt̪o nɐe̯
তুমি বোকার মতো তাকে নিয়ে ভেবে বসে থাকবে কেন,Sylhet তুুমি আরুয়ার লাখান তারে লইয়া ভাবিয়া বই রইতায় খেনে,ʃɔlhe t̪ũmɪ ɐɾuʲɐɾ lɐkʰɐn t̪ɐɾe lɔ͡ɪ̯ʲɐ bʱɐbɪʲɐ bo͡ɪ̯ ɾo͡ɪ̯t̪ɐe̯ kʰene
আমার ইচ্ছা আমি ভাব্বো ,Sylhet মোর ইচ্ছা মুই ভাবিমু,ʃɔlɔt moɾ ɪccʰɐ mu͡ɪ̯ bʱɐbɪmu
আমি তো বোকাই ,Sylhet মুই তো আরুয়া অউ ,ʃɔlhe mu͡ɪ̯ t̪o ɐɾuʷɐ ɔ͡u̯ 
আমি কি বোকা? ,Sylhet মুই যে আরুয়া? ,ʃɔlh mu͡ɪ̯ ɟe ɐɾuʷɐ? 
তুমি অনেক চালাক,Sylhet তুমি রেবা বহুত চালু,ʃɔlhe t̪umɪ ɾebɐ bohut̪ cɐlu
আমি বার বার ভালোবেসে ঠকে গেছি,Sylhet  মুুই বার বার পিরিত খরি ঠকলাম,ʃɔlhe  muu͡ɪ̯ bɐɾ bɐɾ pɪɾɪt̪o xoɾɪ tʰɔklɐm
ভালোবাসা অনেক কষ্টের ,Sylhet  পিরিত বাক্কা খষ্টর,ʃɔlhe  pɪɾɪt̪o bɐkkɐ xɔʃtoɾ
তোমার এক ফোটা হাসি দেখার জন্য বসে আছি ,Sylhet  তুমার এখ জরা হাসি দেখার লাগি বই রইছি,ʃɔlhe  t̪umɐɾ ɛkʰo ɟɔɾɐ hɐʃɪ d̪ɛkʰɐɾ lɐgɪ bo͡ɪ̯ ɾo͡ɪ̯cʰɪ
একটু আগেই ঝাড়ু দেওয়া হয়েছে,Sylhet থুরা আগেউ ঝাড়ু দেওয়া অইছে,ʃɔlhe t̪ʰuɾɐ ɐge͡u̯ ɟʱɐɽu d̪e͡o̯ʷɐ e͡ɪ̯cʰe
পানি দিয়ে মুছে দেওয়া হয়েছে,Sylhet পানি দিয়া মুছি দেওয়া অইছে,ʃɔlho pɐnɪ d̪ɪʲɐ mucʰɪ d̪e͡o̯ʷɐ e͡ɪ̯cʰe
শিক্ষার্থী নতুন ভর্তি হয়েছে ,Sylhet ছাত্রছাত্রী নয়া ভর্তি অইছইন,ʃɔlhe cʰɐt̪ɾocʰɐt̪ɾɪ nɔʲɐ bʱɔɾt̪ɪ e͡ɪ̯cʰɪn
এলাকায় আগুন লেগেছে,Sylhet  এলাকাত আগুন লাগি গেছ,ʃɔlhe  elɐkɐt̪ ɐgun lɐgɪ gecʰo
আমার নানা অসুস্থ ,Sylhet মোর  নানা বেমার,ʃɔlɔt moɾ  nɐnɐ bɛmɐɾ
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে ,Sylhet  বাক্কা ছাত্রছাত্রী নয়া ভর্তি অইছইন,ʃɔlhe  bɐkkɐ cʰɐt̪ɾocʰɐt̪ɾɪ nɔʲɐ bʱɔɾt̪ɪ e͡ɪ̯cʰɪn
রোগীকে হাসপাতালে থাকতে হবে,Sylhet বেমারিরে হাসপাতাল থাখা লাগবো, ʃɔlhe bɛmɐɾɪɾe hɐʃpɐt̪ɐl t̪ʰɐkʰɐ lɐgbo
নানাকে দেখতে গিয়েছিলাম ,Sylhet নানারে দেখাত গেছলাম,ʃɔlhe nɐnɐɾe d̪ɛkʰɐt̪ gecʰolɐm
আমি আগে দেখিনি,Sylhet  মুই আগে দেখছি না,ʃɔlhe  mu͡ɪ̯ ɐge d̪ekʰcʰɪ nɐ
নানা আমাকে দেখে খুব খুশি হলো,Sylhet  নানায় মোরে দেকিয়া বেতালা খুশ অইছইন,ʃɔlhe  nɐnɐe̯ moɾe d̪ekɪʲɐ bet̪ɐlɐ kʰuʃ e͡ɪ̯cʰɪn
সেটা একধরনের যোগাযোগ,Sylhet ইখটা এখ ধরনর যুগাযুগ,ʃɔlhe ɪxtɐ ɛx d̪ʱɔɾonɔɾ zugɐzug
আমি গতকাল স্কুলে আসিনি,Sylhet মুই কাইলকু ইস্কুল আইছি না,ʃɔlhet mu͡ɪ̯ kɐ͡ɪ̯lku ɪskul ɐ͡ɪ̯cʰɪ nɐ
তাদেও কেও স্কুলে আসেনি ,Sylhet তারার কেউ ওউ স্কুলও আইছে না,ʃɔlhe t̪ɐɾɐɾ ke͡u̯ o͡u̯ skulo ɐ͡ɪ̯cʰe nɐ
তাদের জানার কথা নয়,Sylhet তারার জানার কথা নায়,ʃɔlhe t̪ɐɾɐɾ ɟɐnɐɾ kɔt̪ʰɐ nɐe̯
বড়ো মামা  বিদেশ থেকে এসেছেন,Sylhet বড়ো মামা বিদেশ তনে আইছোইন,ʃɔlhe bɔɽo mɐmɐ bɪd̪eʃ t̪ɔne ɐ͡ɪ̯cʰo͡ɪ̯n
ক্লাসে কোন বিষয় নিয়ে কথা বলছিলেন?,Sylhet ক্লাস-ও কোন ব্যাপারে মাতছিলায়?, ʃɔlɪ -o kon bɛpɐɾe mɐt̪cʰɪlɐe̯?
কেন পলাশের কথায় বিরক্ত হয়েছিল,Sylhet পলাশ ওর মাতে বিরক্ত ওইছলায় কিওর লাগি?,ʃɔlɪ pɔlɐʃ oɾ mɐt̪e bɪɾokt̪o o͡ɪ̯cʰɔlɐe̯ kɪ͡o̯ɾ lɐgɪ?
ইচ্ছা ছিল কোনো জায়গায় ঘুরতে যাব,Sylhet ইচ্ছা আছিল কোন জেগাত ঘুরাত যাইমু,ʃɔlho ɪccʰɐ ɐcʰɪlo kon ɟegɐt̪ gʱuɾɐt̪ ɟɐ͡ɪ̯mu
অনেকবার লালবাগ কেল্লার কথা শুনেছি,Sylhet বউতবার লালবাগ কেল্লার মাত হুনছি,ʃɔlɔt̪obɐɾ lɐlbɐg kellɐɾ mɐt̪ huncʰɪ
ঠিক করা হলো সবাই মিলে সেখানে যাব,Sylhet ঠিক ওইলো হকলে মিলিয়া ওনো যাইমু,ʃɔlhe tʰɪk o͡ɪ̯lo hokole mɪlɪʲɐ ono ɟɐ͡ɪ̯mu
আমার মামাতো বোনও যেতে চাইল,Sylhet আমার মামাত্তো বইন-ও যাইতো চাইছিল, ʃɔlhe ɐmɐɾ mɐmɐt̪t̪o -o ɟɐ͡ɪ̯t̪o cɐ͡ɪ̯cʰɪlo
লিখে শিক্ষকের কাছে জমা দাও,Sylhet লেখিয়া শিক্ষক ওর ধারো জমা দেও,ʃɔlhe lekʰɪʲɐ ʃɪkkʰɔk oɾ d̪ʱɐɾo ɟɔmɐ d̪e͡o̯
সব অঞ্চলের মানুষের ভাষা এক রকমের নয়,Sylhet হকল জেগার মাইনষের ভাষা একলাকান নায়,ʃɔlhet hokol ɟegɐɾ mɐ͡ɪ̯nʃeɾ bʱɐʃɐ ɛklɐkɐn nɐe̯
অনেক শব্দের উচ্চারণ আলাদা হয়,Sylhet বউত শব্দ'র উচ্চারণ আলাদা ওয়,ʃɔlhet bɔ͡u̯t̪o ʃɔbd̪o'ɾo uccɐɾon ɐlɐd̪ɐ oe̯
দক্ষিণের জেলা কক্সবাজার,Sylhet দক্ষিণ ওর জেলা কক্সবাজার,ʃɔlhet d̪okkʰɪn oɾ ɟelɐ kɔksbɐɟɐɾ
সাড়ে চারটায় সবার মাঠে আসার কথা,Sylhet সাড়ে চাইট্টাত হক্কল ওর মাঠ-ও আওয়ার কথা,ʃɔlhe ʃɐɽe cɐ͡ɪ̯ttɐt̪o hokkol oɾ mɐtʰ-o ɐ͡o̯ʷɐɾ kɔt̪ʰɐ
আজ কোনো খেলা হবে না ,Sylhet আইজ কোন খেলা ওইতো নায়,ʃɔlhe ɐ͡ɪ̯ɟ kon kʰelɐ o͡ɪ̯t̪o nɐe̯
একটা পোড়োবাড়ি আছে,Sylhet একগু পোড়াবাড়ি আছিল,ʃɔlhet ɛkgu poɽɐbɐɽɪ ɐcʰɪlo
এখানে কী করছো তোমরা?,Sylhet ওনো কিতা কররায় তোমরা?,ʃɔlhe ono kɪt̪ɐ koɾɾɐe̯ t̪omɾɐ?
চারপাশে কত বড়ো বড়ো গাছ!,Sylhet চাইরো দিকে কতো বড় বড় গাছ,ʃɔlhe cɐ͡ɪ̯ɾo d̪ɪke kɔt̪o bɔɽo bɔɽo gɐcʰ
দিনের বেলাতেও বাড়ির ভিতরটা অন্ধকার হয়ে থাকে,Sylhet দিন ওর বেলাতও বাড়ির ভিতরটা অন্ধকার ওই থাকে,ʃɔlhe d̪ɪn oɾ belɐt̪o bɐɽɪɾ bʱɪt̪ɔɾtɐ ɔnd̪ʱokɐɾ o͡ɪ̯ t̪ʰɐke
রেলগাড়ি চলে রেললাইনের উপর দিয়ে,Sylhet রেলগাড়ি চলেউ রেললাইন ওর উফ্রে দিয়া,ʃɔlhe ɾelgɐɽɪ cɔle͡u̯ ɾellɐ͡ɪ̯n oɾ upʰɾe d̪ɪʲɐ
উপহার পেতে প্রত্যেকের ভালো লাগে,Sylhet উপহার ফাইতে সবের ওয় বালা লাগে,ʃɔlho upohɐɾ pʰɐ͡ɪ̯t̪e ʃɔbeɾ oe̯ bɐlɐ lɐge
অচেনা লোকের উপহার গ্রহণ করি না,Sylhet অচেনা মাইনষের উপহার লই না,ʃɔlhet ɔcenɐ mɐ͡ɪ̯nʃeɾ upohɐɾ lɔ͡ɪ̯ nɐ
উপহার দিতে অনেকের ভালো লাগে,Sylhet উপহার দিতে বউত ওর বালা লাগে,ʃɔlhe upohɐɾ d̪ɪt̪e bɔ͡u̯t̪o oɾ bɐlɐ lɐge
খেলার মাঠে আমরা রোজ খেলতে যাই,Sylhet খেলার মাঠ-ও আমরা রোজ খেলাত যাই,ʃɔlhe kʰelɐɾ mɐtʰ-o ɐmɾɐ ɾoɟ kʰelɐt̪ ɟɐ͡ɪ̯
এক চানাচুরওয়ালাকে দেখা যায়,Sylhet একটা চানাচুরআলারে দেখা যাইরো,ʃɔlhe ɛktɐ cɐnɐcuɾɐlɐɾe d̪ɛkʰɐ ɟɐ͡ɪ̯ɾo
তিনি চানাচুর বিক্রি করতে আসেন,Sylhet তাইন চানাচুর বেচাত আইন,ʃɔlhe t̪ɐ͡ɪ̯n cɐnɐcuɾ becɐt̪ ɐ͡ɪ̯n
তুমি ভালো আছ জেনে খুশি হলাম,Sylhet তুমিতাইন বালা আছো জানিয়া খুশি ওইলাম,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n bɐlɐ ɐcʰo ɟɐnɪʲɐ kʰuʃɪ o͡ɪ̯lɐm
চিঠি সাধারণত খামে ভরে পাঠানো হয়,Sylhet চিঠি সাধারণত খাম ওর মাঝে ভরিয়া পাঠানি ওয়,ʃɔlhe cɪtʰɪ ʃɐd̪ʱɐɾonot̪ɔ xɐm oɾ mɐzʱe voɾɪʲɐ pɐtʰɐnɪ oe̯
"খাওয়া-দাওয়ার কথা বলে লাভ নেই, দুঃখ পাবে","Sylhet খানির দানির মাত মাতিয়া লাভ নাই, কষ্ট ফাইবায়","ʃɔlhe xɐnɪɾ d̪ɐnɪɾ mɐt̪ mɐt̪ɪʲɐ lɐv nɐ͡ɪ̯, koʃto fɐ͡ɪ̯bɐe̯"
তবে বেঁচে আছি ও খুব ভালো আছি,Sylhet তবে বাচিয়া আছি আর খুব বালাও আছি,ʃɔlhe t̪ɔbe bɐcɪʲɐ ɐcʰɪ ɐɾ kʰub bɐlɐ͡o̯ ɐcʰɪ
তোমরা ভালো আছ জেনে খুশি হলাম,Sylhet তোমরা বালা আছো জানিয়া খুশি ওইলাম,ʃɔlhe t̪omɾɐ bɐlɐ ɐcʰo ɟɐnɪʲɐ kʰuʃɪ o͡ɪ̯lɐm
আমার জন্য বেশি চিন্তা কোরো না,Sylhet আমার লাগি বেশি ভাবিও না,ʃɔlhe ɐmɐɾ lɐgɪ beʃɪ bʱɐbɪ͡o̯ nɐ
এখন ঘরে ঘরে টেলিভিশন দেখা যায়,Sylhet ওখন ঘর-ও ঘর-ও টিভি দেখা যায়,ʃɔlhe okʰon gʱɔɾ-o gʱɔɾ-o tɪbʱɪ d̪ɛkʰɐ ɟɐe̯
"টেলিভিশনে কথা শোনা যায়, ছবিও দেখা যায়","Sylhet টিভিত মাত হুনা যায়, ছবিও দেখা যায়","ʃɔlhe tɪbʱɪt̪o mɐt̪ hunɐ ɟɐe̯, cʰobɪ͡o̯ d̪ɛkʰɐ ɟɐʲ"
রেডিওতে কেবল কথা শোনা যায়,Sylhet রেডিওত খালি মাত হুনা যায়,ʃɔlhe ɾedɪ͡o̯t̪o kʰɐlɪ mɐt̪ hunɐ ɟɐe̯
হাজার বছর আগে সব পুরুষই পরত ধুতি পরত ,Sylhet হাজার বছর আগ ওর হকল বেটাইনতেউ ধুতি পড়তো,ʃɔlhe hɐɟɐɾ bɔcʰoɾ ɐgo oɾ hokol betɐ͡ɪ̯nt̪e͡u̯ d̪ʱut̪ɪ pɔɽt̪o
তখনো মেয়েরা আঁচল টেনে ঘোমটা দিত,Sylhet তখনো ফুরিন আঁচল টানিয়া ঘোমটা দিতো,ʃɔlhe t̪ɔkʰono pʰuɾɪn ɐ̃cɔl tɐnɪʲɐ gʱomtɐ d̪ɪt̪o
ভাত বাঙালির বহুকালের প্রিয় খাদ্য,Sylhet ভাত বাঙালির বউতকাল ধরি প্রিয় খানি,ʃɔlhe vɐt̪ bɐŋɐlɪɾ bɔ͡u̯t̪ɔkɐl d̪ʱoɾɪ pɾɪʲo xɐnɪ
মেয়েরা বাগান করতে ভালোবাসত,Sylhet ফুরিন্তে বাগান করতে বালা ফাইতো,ʃɔlɪ pʰuɾɪnt̪e bɐgɐn koɾt̪e bɐlɐ pʰɐ͡ɪ̯t̪o
মেয়েরা সাঁতার কাটতে ভালোবাসত,Sylhet ফুরিন্তে সাঁতার কাটতে বালা ফাইতো,ʃɔlɪ pʰuɾɪnt̪e ʃɐ̃t̪ɐɾ kɐtt̪e bɐlɐ pʰɐ͡ɪ̯t̪o
ধনী লোকেরা ঘোড়া আর হাতির খেলা দেখত,Sylhet ফয়সাআলা মাইনষে ঘোড়া আর হাত্তির খেলার দেখতো,ʃɔlhe pʰɔʲʃɐ͡ɐ̯lɐ mɐ͡ɪ̯nʃe gʱoɽɐ ɐɾ hɐt̪t̪ɪɾ kʰelɐɾ d̪ekʰt̪o
যাতায়াতের প্রধান উপায় ছিল নৌকা,Sylhet যাওয়া আওয়ার আসল পথ আছিল নৌকা,ʃɔlhe ɟɐ͡o̯ʷɐ ɐ͡o̯ʷɐɾ ɐʃol pɔt̪ʰ ɐcʰɪlo no͡u̯kɐ
বড়ো বোনের ঘরে তার জন্যে ছোটো খাট দেওয়া হলো,Sylhet বড় বইন ওর ঘর-ও তার লাগি ছোট খাট দেওয়া ওইলো,ʃɔlhe bɔɽo bo͡ɪ̯n oɾ gʱɔɾ-o t̪ɐɾ lɐgɪ cʰoto kʰɐt d̪e͡o̯ʷɐ o͡ɪ̯lo
তার কাছে সব দেশের টাকা আছে,Sylhet তার ধারো হকল দেশ ওর টেখাউ আছে,ʃɔlhet t̪ɐɾ d̪ʱɐɾo hokol d̪eʃ oɾ tekʰɐ͡u̯ ɐcʰe
সে তোকে কিছু উপহার দিলো না?,Sylhet হে তোরে কুন্তা উপহার দিলো না নি?,ʃɔlhe he t̪oɾe kunt̪ɐ upohɐɾ d̪ɪlo nɐ nɪ?
আম্মা নানাকে একটা চিঠি লিখছেন,Sylhet আম্মায় নানারে একটা চিঠি লেখছোইন,ʃɔlhe ɐmmɐe̯ nɐnɐɾe ɛktɐ cɪtʰɪ lekʰcʰo͡ɪ̯n
আমাদের নামের প্রয়োজন হয় না,Sylhet আমরার নাম ওর দরকার লাগে না,ʃɔlhe ɐmɾɐɾ nɐm oɾ d̪ɔɾkɐɾ lɐge nɐ
আমরা এমনিতেই পরিচয় রাখতে পারি,Sylhet আমরা এমনেউ পরিচয় রাখতাম ফারি,sɪhet ɐmɾɐ ɛmone͡u̯ poɾɪcɔe̯ ɾɐkʰt̪ɐm pʰɐɾɪ
 তোমাকে একটা উপহার দিতে চাই,Sylhet তুমিতাইন রে একটা উপহার দিতাম চাই,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n ɾe ɛktɐ upohɐɾ d̪ɪt̪ɐm cɐ͡ɪ̯
সেটি টেবিলের উপরে রাখা ছিল,Sylhet ওটা টেবিল ওর উফ্রে রাখা আছিল,ʃɔlɔt otɐ tebɪl oɾ upʰɾe ɾɐkʰɐ ɐcʰɪlo
আমার প্রিয় একটা বই হারিয়ে গেছে,Sylhet আমার প্রিয় একগু বই হারাই গেছে,ʃɔlhe ɐmɐɾ pɾɪʲo ɛkgu bo͡ɪ̯ hɐɾɐ͡ɪ̯ gecʰe
ফোন করে জানাল,Sylhet ফোন করিয়া জানাইলো,ʃɔlhe pʰon koɾɪʲɐ ɟɐnɐ͡ɪ̯lo
তার প্রিয় একটা বই হারিয়ে গেছে,Sylhet তার প্রিয় একগু বই হারাই গেছে,ʃɔlhet t̪ɐɾ pɾɪʲo ɛkgu bo͡ɪ̯ hɐɾɐ͡ɪ̯ gecʰe
কে নিয়েছে ?,Sylhet কেটায় নিছে?,ʃɔlɪ ketɐe̯ nɪcʰe?
সে ব্যাপারে নিশ্চিত নই,Sylhet ওউ ব্যাপারও শিওর নায়,ʃɔlhe o͡u̯ bɛpɐɾo ʃɪ͡o̯ɾ nɐe̯
সে হয়তো পড়ার জন্যই নিয়েছে,Sylhet হে লাগের পড়ার লাগি ওউ নিছে,ʃɔlhe he lɐgeɾ pɔɽɐɾ lɐgɪ o͡u̯ nɪcʰe
কোনো ব্যাপারে নিশ্চিত না হয়ে কাউকে দোষ দেওয়া ঠিক নয়,Sylhet কুন্তাত শিওর না ওইয়া কেউরে দোষ দেওয়া ঠিক নায়,ʃɔlhe kunt̪ɐt̪ ʃɪ͡o̯ɾ nɐ o͡ɪ̯ʲɐ ke͡u̯ɾe d̪oʃ d̪e͡o̯ʷɐ tʰɪk nɐe̯
"যে নিয়েছে, সে হয়তো পড়ার জন্যই নিয়েছে","Sylhet যে নিছে, হে তো পড়ার লাগিও নিতো ফারে","ʃɔlhe ɟe nɪcʰe, he t̪o pɔɽɐɾ lɐgɪ͡o̯ nɪt̪o pʰɐɾe"
বইটা পাওয়া যায় কি না,Sylhet বই ওগু ফাওয়া যায় কি না,ʃɔlhet bo͡ɪ̯ ogu pʰɐ͡o̯ʷɐ ɟɐe̯ kɪ nɐ
বইটা পাওয়া গেছে,Sylhet বই ওগু ফাওয়া গেছে,ʃɔlhet bo͡ɪ̯ ogu pʰɐ͡o̯ʷɐ gecʰe
বাবা বইটা বুকশেলফে তুলে রেখেছিলেন,Sylhet বাবায় বই ওগু বুকশেলফও তুলিয়া রাখছিলা,ʃɔlhet bɐbɐe̯ bo͡ɪ̯ ogu bukʃelpʰo t̪ulɪʲɐ ɾɐkʰcʰɪlɐ
তিনি বুঝতেও পারেননি,Sylhet তাইন বুঝতে ফারছিলা না,ʃɔlhe t̪ɐ͡ɪ̯n buɟʱt̪e pʰɐɾcʰɪlɐ nɐ
আর পারুলও না বুঝে অন্যদের দোষ দিচ্ছিল,Sylhet আর পারুল এও না বুঝিয়া অইন্যের দোষ দিতো আছিল,ʃɔlhe ɐɾ pɐɾul e͡o̯ nɐ buɟʱɪʲɐ ɔ͡ɪ̯nneɾ d̪oʃ d̪ɪt̪o ɐcʰɪlo
